Order,Material Number,Material description,Order quantity (GMEIN),Basic start date,Basic finish date,GOS Text display for CPH production orde
100035092,S9996726,DRC Measles Kit 2021 PP 1/1,17,2025-08-11,2025-08-15,
100035239,S9901041,"IEHK 2024,Basic Malaria UNIT",90,2025-08-11,2025-08-15,
100035302,S9992431,"SUB 1/8 NBK, Clinic, Module 1, Medicines",20,2025-08-11,2025-08-15,
100035305,S9992434,"SUB 4/8 NBK, Clinic, Module 1, Medicines",20,2025-08-11,2025-08-15,
100035544,S9906713,"SD, IMCI Medicine kit, 2016",208,2025-08-11,2025-08-15,
100035561,S9935034,"Recreation kit-in-a-carton, 2016",800,2025-08-11,2025-08-15,
100035615,S9999492,"Sub 2/4 , SD Primary Healthcare2016",650,2025-08-11,2025-08-15,
100035712,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-08-11,2025-08-15,
100035713,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-08-11,2025-08-15,
100035714,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-08-11,2025-08-15,
100035715,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-08-11,2025-08-15,
100035722,S9906713,"SD, IMCI Medicine kit, 2016",350,2025-08-11,2025-08-15,
100035810,S9935064,"Early Childhood Dvt (ECD) kit, 2016",800,2025-08-11,2025-08-14,
100035904,S9999138,PP 2/3 (old 2/7)Periphery Renew S9903003,19,2025-08-11,2025-08-15,
100035905,S9999137,PP 1/3 (old 1/7)Periphery Renew S9903003,19,2025-08-11,2025-08-15,
100034977,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",792,2025-08-18,2025-08-22,
100034978,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",96,2025-08-18,2025-08-22,
100035606,S9999491,"Sub 1/4, SD SD,Primary Healthcare2016",622,2025-08-18,2025-08-22,
100035619,S9999493,"Sub 3/4 , SD Primary Healthcare2016",650,2025-08-18,2025-08-22,
100035676,S9999144,"AWD SUB 1/3 Periphery,Renewable",300,2025-08-18,2025-08-22,
100035679,S9999145,"AWD SUB 2/3 Periphery,Renewable",300,2025-08-18,2025-08-22,
100035684,S9999146,"AWD SUB 3/3 Periphery,Renewable",300,2025-08-18,2025-08-22,
100035742,S9999494,"Prepack 1/3 SD,Primary Healthcare2016",650,2025-08-18,2025-08-22,
100035811,S9935064,"Early Childhood Dvt (ECD) kit, 2016",800,2025-08-18,2025-08-22,
100035813,S9999987,Prepack for ECD Kits  2016,800,2025-08-18,2025-08-22,
100035581,S9901047,"IEHK 2024,Suppl Medicine Cold Chain UNIT",7,2025-08-25,2025-08-29,
100035605,S9906712,"SD, Primary Healthcare kit, 2016",650,2025-08-25,2025-08-29,
100035675,S9903003,"AWD, Periphery kit, Renewable",300,2025-08-25,2025-08-29,
100035698,S9999124,AWD Periphery kit Drug S9903004,187,2025-08-25,2025-08-29,
100035791,S9975020,First aid kit class A,780,2025-08-25,2025-08-29,
100035021,S9935090,"Syria Paediatric Kit, 2019",215,2025-09-01,2025-09-05,
100035373,S9992413,"SUB 3/3 NBK,Community,Part B,Module1,Med",57,2025-09-01,2025-09-05,
100035787,S9975020,First aid kit class A,780,2025-09-01,2025-09-05,
100035788,S9975020,First aid kit class A,780,2025-09-01,2025-09-05,
100035925,S9999503,"Bag 1/1 Sudan, IMCI Med. kit, 2016",60,2025-09-01,2025-09-05,
100035926,S9998508,"Sub 7/7 SD IMCI Med. kit, 2016",60,2025-09-01,2025-09-05,
100035927,S9998507,"Sub 6/7 SD IMCI Med. kit, 2016",60,2025-09-01,2025-09-05,
100035928,S9998506,"Sub 5/7 SD IMCI Med. kit, 2016",60,2025-09-01,2025-09-05,
100035929,S9999507,"Sub 3/7 SD IMCI Med. kit, 2016",60,2025-09-01,2025-09-05,
100035930,S9999506,"Sub 2/7 SD IMCI Med. kit, 2016",60,2025-09-01,2025-09-05,
100035786,S9975020,First aid kit class A,780,2025-09-08,2025-09-12,
100035792,S9975020,First aid kit class A,780,2025-09-08,2025-09-12,
100035793,S9975020,First aid kit class A,780,2025-09-08,2025-09-12,
100035867,S9906806,"Yemen PHC kit 2025, Consumables",200,2025-09-08,2025-09-12,
100035880,S9906804,"Yemen PHC kit 2025, Basic Medicines",60,2025-09-15,2025-09-19,
100034015,S9901042,"IEHK 2024,Basic Equipment UNIT",800,2025-09-22,2025-09-26,
100034030,S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",150,2025-09-22,2025-09-26,
100035482,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035483,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035485,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035488,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035489,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035490,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035491,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035494,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035495,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035497,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035498,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-22,2025-09-26,
100035537,S9999124,AWD Periphery kit Drug S9903004,33,2025-09-22,2025-09-26,
100035538,S9999124,AWD Periphery kit Drug S9903004,33,2025-09-22,2025-09-26,
100035864,S9906805,"Yemen PHC kit 2025, Supp. Medicines",150,2025-09-22,2025-09-26,
100035907,S9999505,"Sub 1/7 SD IMCI Med. kit, 2016",60,2025-09-22,2025-09-26,
100035476,S9935090,"Syria Paediatric Kit, 2019",792,2025-09-29,2025-10-03,
100035477,S9935090,"Syria Paediatric Kit, 2019",792,2025-09-29,2025-10-03,
100035478,S9935090,"Syria Paediatric Kit, 2019",792,2025-09-29,2025-10-03,
100035486,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-29,2025-10-03,
100035487,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",470,2025-09-29,2025-10-03,
100035492,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-29,2025-10-03,
100035493,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",440,2025-09-29,2025-10-03,
100035496,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",792,2025-09-29,2025-10-03,
100035499,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",440,2025-09-29,2025-10-03,
100035479,S9935090,"Syria Paediatric Kit, 2019",524,2025-10-06,2025-10-10,
100035480,S9935090,"Syria Paediatric Kit, 2019",792,2025-10-06,2025-10-10,
100035481,S9935090,"Syria Paediatric Kit, 2019",716,2025-10-06,2025-10-10,
100035614,S9999496,"Prepack 3/3 SD,Primary Healthcare2016",900,2025-10-06,2025-10-10,
100035906,S9906713,"SD, IMCI Medicine kit, 2016",60,2025-10-06,2025-10-10,
100035611,S9999495,"Prepack 2/3 SD,Primary Healthcare2016",900,2025-10-13,2025-10-17,
100035617,S9999492,"Sub 2/4 , SD Primary Healthcare2016",900,2025-10-13,2025-10-17,
100035743,S9999494,"Prepack 1/3 SD,Primary Healthcare2016",900,2025-10-13,2025-10-17,
100035608,S9999491,"Sub 1/4, SD SD,Primary Healthcare2016",900,2025-10-20,2025-10-24,
100035740,S9999493,"Sub 3/4 , SD Primary Healthcare2016",900,2025-10-20,2025-10-24,
100035869,S9906807,"Yemen PHC kit 2025, Supp. HC Medicines",149,2025-10-20,2025-10-24,
100035604,S9906712,"SD, Primary Healthcare kit, 2016",900,2025-10-27,2025-10-31,
100035868,S9906806,"Yemen PHC kit 2025, Consumables",829,2025-10-27,2025-10-31,
100035910,S9999496,"Prepack 3/3 SD,Primary Healthcare2016",45,2025-11-10,2025-11-14,
100035911,S9999495,"Prepack 2/3 SD,Primary Healthcare2016",45,2025-11-10,2025-11-14,
100035912,S9999492,"Sub 2/4 , SD Primary Healthcare2016",45,2025-11-10,2025-11-14,
100035913,S9999494,"Prepack 1/3 SD,Primary Healthcare2016",45,2025-11-10,2025-11-14,
100035881,S9906804,"Yemen PHC kit 2025, Basic Medicines",300,2025-11-17,2025-11-21,
100035909,S9999491,"Sub 1/4, SD SD,Primary Healthcare2016",45,2025-11-17,2025-11-21,
100035914,S9999493,"Sub 3/4 , SD Primary Healthcare2016",45,2025-11-17,2025-11-21,
100035915,S9999490,Sub 4/4 SD Primary Healthcare2016,45,2025-11-17,2025-11-21,
100035865,S9906805,"Yemen PHC kit 2025, Supp. Medicines",300,2025-11-24,2025-11-28,
100035908,S9906712,"SD, Primary Healthcare kit, 2016",45,2025-11-24,2025-11-28,
100035630,S9992451,"SUB 1/5 NBK, Clinic, Module 3, Equipment",100,2025-12-29,2026-01-02,
100035882,S9906804,"Yemen PHC kit 2025, Basic Medicines",300,2025-12-29,2026-01-02,
100035866,S9906805,"Yemen PHC kit 2025, Supp. Medicines",580,2026-01-05,2026-01-09,
100035883,S9906804,"Yemen PHC kit 2025, Basic Medicines",370,2026-01-05,2026-01-09,
100035417,S9906742,Mozambique Community Health Worker Kit,800,2025-06-23,2025-06-27,REL  PRC  BCRQ MANC SETC
100034757,S9908305,"Obstetric,surgical kit,suppl.2-equipment",30,2025-06-30,2025-07-04,REL  PRC  BCRQ MANC SETC
100035436,S9999899,"Subkit 2/2 Midwifery ,3-renew S9902219",700,2025-07-01,2025-07-04,REL  PRC  BCRQ MANC SETC
100035449,S9999987,Prepack for ECD Kits  2016,800,2025-06-30,2025-07-04,REL  PRC  MANC SETC
100035450,S9999987,Prepack for ECD Kits  2016,800,2025-06-30,2025-07-04,REL  PRC  MACM SETC
100035663,S9908402,"Resuscitation kit,basic",400,2025-06-30,2025-07-04,REL  PRC  BCRQ MANC SETC
100035758,S9999992,First Aid kit-prepack for S9975020   (I),120,2025-06-30,2025-07-04,REL  PRC  BCRQ MACM SETC
100035809,S7901045,"ECHO IEHK 2024,Suppl Mental Health UNIT",10,2025-06-30,2025-07-04,REL  PRC  BCRQ GMPS MACM SETC
100035835,S7901042,"ECHO IEHK 2024,Basic Equipment UNIT",100,2025-06-30,2025-07-04,REL  PRC  BCRQ MACM SETC
100035842,S7998051,"ECHO IEHK 2024,Suppl Equipment UNIT S1/2",10,2025-06-30,2025-07-04,REL  PRC  BCRQ MACM SETC
100035848,S7991054,"ECHO IEHK 2024,Suppl Renewable UNIT S3/6",10,2025-06-30,2025-07-04,REL  PRC  BCRQ MACM SETC
100035920,S9935024,"Recreation kit, 2016",800,2025-06-30,2025-07-04,REL  PRC  MACM SETC
100034021,S9901042,"IEHK 2024,Basic Equipment UNIT",800,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100034121,S9910005,"Surg.inst.,dressing /SET",1200,2025-07-07,2025-07-11,REL  PRC  MACM SETC
100034819,S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",800,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100034917,S9906742,Mozambique Community Health Worker Kit,948,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035189,S9999857,"Bag 1/3 Surg.inst.,abdominal S9910000",150,2025-07-07,2025-07-11,REL  PRC  MANC SETC
100035191,S9999859,"Bag 3/3 Surg.inst.,abdominal S9910000",150,2025-07-07,2025-07-11,REL  PRC  MANC SETC
100035380,S9991055,"SUB 4/6 IEHK 2024,Suppl. Renewable UNIT",400,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035382,S9991056,"SUB 5/6 IEHK 2024,Suppl. Renewable UNIT",400,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
